word,freq
Emma,865
Jane,301
Austen,1
VOLUME,3
CHAPTER,55
Woodhouse,313
She,562
Her,88
Sixteen,2
Miss,592
Taylor,48
Mr,1153
Between,2
Even,10
The,357
Sorrow,1
It,400
Weston,439
Isabella,69
How,108
Mrs,700
He,441
London,45
October,4
November,5
Hartfield,160
Christmas,11
Highbury,125
Woodhouses,4
All,10
His,57
Matrimony,1
Poor,30
What,102
But,293
This,108
And,224
We,89
We_,2
My,108
Randalls,90
No,126
James,19
They,148
You,303
That,76
Hannah,2
Nobody,19
Whenever,6
Knightley,389
Brunswick,11
Square,11
When,51
Not,39
Dirty,1
Look,5
Well,86
By,13
Being,2
Who,13
Ah,46
Tis,2
At,34
Especially,1
Oh,185
Every,37
Dear,23
Pray,15
Some,14
Ever,4
Broadway,1
Lane,6
Farmer,1
Mitchell,1
Success,1
Your,27
Where,16
There,129
If,110
Only,14
Elton,385
With,30
Invite,2
Depend,10
II,4
Captain,3
Churchill,223
Yorkshire,8
Enscombe,36
Churchills,15
From,11
Frank,208
Now,36
Perry,80
Bates,148
For,26
Perrys,3
III,4
Fortunately,2
Donwell,49
Abbey,31
Real,1
Westons,8
After,21
Goddard,59
Had,18
School,1
Boarding,1
These,18
As,49
Smith,89
Harriet,506
Somebody,5
Encouragement,2
Those,8
Martin,85
She_,8
Upon,26
Such,49
An,12
Serle,3
Ours,1
IV,3
Quick,1
In,70
Altogether,1
Two,7
Martins,13
Mill,11
Farm,5
Alderneys,1
Welch,2
Sunday,2
Nash,13
Prince,1
Richardson,1
Agricultural,1
Reports,1
Elegant,3
Extracts,2
Vicar,1
Wakefield,1
Romance,2
Forest,2
Children,1
One,39
Kingston,8
To,56
June,7
Six,2
Whatever,4
Yes,88
However,17
Elizabeth,8
Robert,32
So,50
Do,60
Were,9
Certainly,11
Compare,2
Which,4
Will,11
Neither,6
On,15
Did,17
Perhaps,18
Thank,16
Why,22
Very,51
Pretty,2
Can,14
Considering,3
John,90
Be,5
Part,4
VI,3
Exactly,7
Skilful,1
Great,1
Let,26
Is,20
Don,9
Keep,1
Miniatures,1
Then,19
Henry,23
Bella,3
Here,21
George,6
Consider,4
Proportions,1
Just,6
Any,3
December,4
Might,4
VII,3
Half,2
Vigorous,1
Ought,1
Are,8
Does,5
Instead,3
Perfectly,2
While,20
Indeed,21
You_,4
Nor,1
Hitherto,1
Bond,2
Has,7
VIII,3
Come,13
Almost,1
Something,8
Tiresome,1
Was,13
Nonsense,5
Whoever,2
Till,7
Waiving,1
Better,7
Vanity,2
Nothing,19
Men,4
Good,18
Clayton,1
Park,1
IX,3
Picture,1
Kitty,3
Take,3
CHARADE,1
Lords,2
Another,8
Behold,3
Man,2
Lord,3
Thy,2
May,8
Courtship_,1
Approve,1
Soft,1
Humph,4
Things,2
Neptune,1
Or,4
Mermaids,1
Give,2
Read,2
Its,4
Could,12
Receive,1
Smiths,1
Eltons,22
Shakespeare,1
Michaelmas,1
Church,1
Abbots,1
Cole,61
Leave,4
Trust,1
Granted,1
Have,19
Aye,13
Woman,2
Kindled,1
Though,8
Garrick,1
Catherine,1
Easter,2
Unwelcome,1
Grandpapa,1
Later,1
Of,12
I_,14
Their,9
Vicarage,12
Fortune,1
Never,11
Poverty,1
Heaven,4
Knightleys,7
Fairfax,241
Anxious,1
Stilton,1
Wiltshire,1
Cautious,1
Still,6
XI,3
Surry,9
Wingfield,10
Papa,3
Either,3
Me,9
Excepting,2
September,5
Cobham,1
Whether,3
Three,4
Weymouth,17
Sept,1
Madam,1
XII,3
Making,1
Concession,1
Tell,4
Little,5
English,8
South,8
End,8
August,3
Bateses,5
Our,8
Middling,1
Graham,1
Scotland,1
Colonel,38
Campbell,51
Philippics,1
Often,1
Cromer,3
True,6
Langham,1
XIII,3
Most,5
Soon,3
Actually,2
Going,2
Much,8
My_,2
Dreadful,2
Weather,1
Ha,2
Quite,13
Charming,3
XIV,3
Absurd,1
Yet,3
January,5
Braithwaites,1
XV,3
Would,5
Judge,1
Walk,1
Shall,5
Without,3
Angry,1
Accordingly,1
Command,1
Believe,1
Am,3
Sir,3
XVI,3
Contrary,1
Sighs,1
William,22
Coxe,2
Day,2
XVII,3
Bath,19
Resentment,1
Time,7
XVIII,3
Standing,1
Respect,2
French,1
Cannot,4
Prejudiced,1
Coles,17
Master,1
Ceremonies,1
Mistresses,1
Misses,1
Hetty,2
God,8
Ma,1
Friday,3
Saturday,7
Tuesday,7
Wednesday,2
Campbells,26
Ireland,14
Dixon,44
Dublin,1
Baly,1
Holyhead,1
Monday,2
Bless,4
Lieut,1
England,10
Living,1
Certain,1
Before,7
Former,1
Wrapt,1
Dixons,3
Manners,1
Once,1
News,1
Full,2
Patty,12
Hawkins,19
Handsome,1
Ford,16
Ambition,1
Human,1
Christian,2
Augusta,4
Green,1
Brown,1
During,1
Many,5
Elton_,2
What_,1
Bristol,8
Sometimes,2
Absolute,1
Small,1
The_,1
Rev,1
Philip_,1
White,1
Hart_,1
Bath_,1
He_,2
Fourteen,1
Impossible,3
Presently,2
Oxford,2
Think,3
Four,1
Pleasant,2
Balls,1
Happily,3
Crown,25
Barnes,1
Call,1
Inn,2
Ten,3
Ill,1
Ladies,3
Beavers,1
York,1
Tan,1
Proof,1
Oftentimes,1
Intimacy,1
Used,1
Hum,1
Although,1
Late,1
Wickedness,1
Now_,3
Nonsensical,1
Cox,8
Broadwood,2
Nay,7
Mr_,1
February,7
March,1
Smiles,1
Irish,4
See,2
Imprudent,1
Surprizes,1
Towards,1
Go,3
Perfect,1
Italian,1
Besides,3
Coxes,5
Anne,3
Immediately,1
Should,3
Voices,1
Saunders,1
Wallis,3
Wallises,1
Larkins,13
Hodges,5
Busy,1
Conjecture,1
Cramer,1
Robin_,1
Adair_,1
Shortly,1
Instances,1
Gilberts,1
Five,1
Miss_,3
Gilbert,5
Mrs_,1
Exquisite,1
Open,1
Dancing,1
Stokes,4
Taylor_,1
Women,1
Suppose,1
Fetch,1
Both,2
Undoubtedly,1
Long,2
Pleasure,1
Fine,1
Alas,3
Happy,3
Forcing,1
Short,3
Woodhouse_,1
Compressed,1
Gratifying,1
Deceived,1
Want,1
Warmth,1
Compliments,1
Maple,31
Grove,31
Suckling,14
People,2
King,1
Selina,10
Partridge,3
